time,mention,title,topic,content,image,imageLanscape,url
3/1/2022,Rattikorn Hewett,"Hired five assistant professors, four are females",achievement,"please add photos, research areas and their PhD institutions",https://www.depts.ttu.edu/coe/images/shared/coe-logo.jpg,https://www.depts.ttu.edu/admissions/apply/status/first_freshmen/entrance.png,#
3/1/2022,Rattikorn Hewett,"Lead a project representing TTU as one of five organizations (among GE, Purdue university, etc.) that won DOE Funding through <a href={'https://www.energy.gov/eere/articles/department-energy-announces-1-million-funding-five-new-projects-cybersecurity'}>Cybersecurity Manufacturing Innovation Institute (Sep 27, 2021)</a>
",achievement,"Rattikorn Hewett lead a project representing TTU as one of five organizations (among GE, Purdue university, etc.) that won DOE Funding through <a href={'https://www.energy.gov/eere/articles/department-energy-announces-1-million-funding-five-new-projects-cybersecurity'}>Cybersecurity Manufacturing Innovation Institute (Sep 27, 2021)</a>.
The project titled ""Energy baselining, Optimization and Security Augmentation of Oil Refinery"" includes multidisciplinary engineering co-Is (V.Shankar, T. Dang) and industrial partner with Dylek (E. Bediago).",https://www.cylab.cmu.edu/_files/images/news/2020/1120-em-cymanii.png,https://media-exp1.licdn.com/dms/image/C4E1BAQG4JfUo9ylbIA/company-background_10000/0/1605199992878?e=2147483647&v=beta&t=m-mBt4bY1oagh1U9U46dDeB1uJUB4Saua29N9lw0QmY,#
3/1/2022,Rattikorn Hewett,"Supadchaya Puangpontip, a PhD student won a grant support from CRA (Computing Research Association) to participate in 2022 CRA-WP Grad Cohort for Women ",achievement,"Supadchaya Puangpontip, a PhD student won a grant support from CRA (Computing Research Association) to participate in 2022 CRA-WP Grad Cohort for Women ",https://cra.org/wp-content/uploads/2015/12/CRA-Fallback.png,,#
3/1/2022,Rattikorn Hewett,Enrollment growth and the number of students keep rising,achievement,Enrollment growth and the number of students keep rising both UG and Grad program (get % increase from last year and current data from Jeremy) ,https://www.depts.ttu.edu/cs/images/CSslideshowRanking.jpg,,#
3/1/2022,Rattikorn Hewett,Hosted 8 Brazillian students for REU,achievement,"As part of the college International program and recruitment, hosted 8 Brazillian students for REU during Fall (get details from George Spoth) ",https://www.depts.ttu.edu/cs/images/CSslideshowRanking.jpg,,#
3/10/2022,Akbar Namin,"Faranak Abri, a PhD student won a grant support from CRA",achievement,"Faranak Abri, a PhD student won a grant support from CRA (Computing Research Association) to participate in 2022 CRA-WP Grad Cohort for Women ",https://cra.org/wp-content/uploads/2015/12/CRA-Fallback.png,,#
3/10/2022,Akbar Namin,Received grant from Office of Navy Research on Automatically Measuring Phishing Victim Susceptibility,achievement,"Received grant from Office of Navy Research on Automatically Measuring Phishing Victim Susceptibility from Publicly Available Information, 2021. The amount of award is $784,732.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt-j20pTtJBsLj6f2J-pKSLMCAg_sKtVo69e9NYkbsjS5jujHzBLKXkf1ax0_U_LWmuTY&usqp=CAU,,#
3/10/2022,Yong Chen,Two student teams from Texas Tech University are participating in the 2022 Winter Classic Student Cluster Competition in Spring 2022 and competing against the rest ten teams from Historically Black and Hispanic universities. Read more about this ongoing story from the media coverage of HPCwire (https://www.hpcwire.com/tag/winter-classic/).,achievement,Two student teams from Texas Tech University are participating in the 2022 Winter Classic Student Cluster Competition in Spring 2022 and competing against the rest ten teams from Historically Black and Hispanic universities. Read more about this ongoing story from the media coverage of HPCwire (https://www.hpcwire.com/tag/winter-classic/).,https://6lli539m39y3hpkelqsm3c2fg-wpengine.netdna-ssl.com/wp-content/uploads/2022/02/Winter-classic-screen-shot_585x.png,,#
3/28/2022,,Recent Faculty hires,faculty,"<img class=""MuiCardMedia-root MuiCardMedia-media MuiCardMedia-img"" style=""width:100%;"" src=""./image/newhire_328_22_detail.PNG"" />",./image/newhire_328_22.png,./image/newhire_328_22_detail.PNG,#
3/28/2022,,Dr. A. Namin gain Federal grants,research,Federal grants on cybersecurity to measure individual susceptibility against social engineering attacks (Dr. A. Namin with collaborators from the Department of Psychology),https://www.loginradius.com/blog/start-with-identity/static/9703670d07030d19ca0bba95303d2d01/a3513/social-engineering-attack.png,,#
3/28/2022,,Dr. Y. Zhuang gain the Federal grants,research,Federal grants on data science to leverage the growing process of datasets to deliver efficient search and data organizing (Dr. Y. Zhuang),https://www.aha.org/sites/default/files/2021-02/ms_020221_Lead_Leveraging_Data_620_1809452.jpg,,#
3/28/2022,,Industrial grants with General Motor,research,"Industrial grants with General Motor to optimize vehicle sequencing in general assembly (Drs. L. Chen, Y. Chen)",https://image.cnbcfm.com/api/v1/image/105403458-1534526471744rts1wohe.jpg?v=1534526585&w=1600&h=900,https://image.cnbcfm.com/api/v1/image/105403458-1534526471744rts1wohe.jpg?v=1534526585&w=1600&h=900,#
3/28/2022,,Industrial grants with AVX Aircraft Company,research,"Industrial grants with AVX Aircraft Company/US Army to develop metrics/dashboard for validating aircraft health, and to study the integrity and quality of aviation logistics and maintenance data (Dr. T. Dang)",https://api.army.mil/e2/c/images/2015/04/13/389372/size0-full.jpg,https://www.ainonline.com/sites/ainonline.com/files/styles/ain30_fullwidth_large_2x/public/uploads/2014/08/avxutility.jpg?itok=tdwO6RLN&timestamp=1407260756,#
3/28/2022,,xBGAS: A Global Address Space Extension on RISC-V for High Performance Computing,Best paper award,"Best Paper Award, the 35th IEEE International Parallel & Distributed Processing Symposium (IPDPS'21), the flagship conference of the IEEE TCPP (Technical Committee on Parallel Processing), entitled ""xBGAS: A Global Address Space Extension on RISC-V for High Performance Computin"" (Xi Wang, Dr. Chen's Ph.D. student and team).",./image/xBGAS.PNG,./image/xBGAS.PNG,#
